page_va,executable,before_sha256,after_sha256,before_nonzero,after_nonzero,change_reason,before_permissions,permissions
0x1019a000,True,ad7facb2586fc6e966c004d7d1d16b024f5805ff7cb47c7a85dabd8b48892ca7,6809db23d0f006056125e73d7e55a767e357d6895abcc07acf9b99e96bbc69c2,False,True,executable_page_changed,7,7
0x1019b000,True,ad7facb2586fc6e966c004d7d1d16b024f5805ff7cb47c7a85dabd8b48892ca7,76f4795596af88feb41ac90595d39c889151b83c9bcd3d5d1b4372faaf8e7806,False,True,executable_page_changed,7,7
0x1019c000,True,ad7facb2586fc6e966c004d7d1d16b024f5805ff7cb47c7a85dabd8b48892ca7,be69b885d9c44c50748d4a56c17905e060ef519687e6db4f0c75971c6659e256,False,True,executable_page_changed,7,7
0x1019d000,True,ad7facb2586fc6e966c004d7d1d16b024f5805ff7cb47c7a85dabd8b48892ca7,82d49ae71990e4c8c56bba83fb7d440320f48a80023ab08946e02194ccbdc173,False,True,executable_page_changed,7,7
0x1019e000,True,ad7facb2586fc6e966c004d7d1d16b024f5805ff7cb47c7a85dabd8b48892ca7,f71fdcafa74c2eb8c5e3976afd52c8c0b226ddbc270fcb23030e9c20ecfe2ad5,False,True,executable_page_changed,7,7
0x1019f000,True,ad7facb2586fc6e966c004d7d1d16b024f5805ff7cb47c7a85dabd8b48892ca7,03020b04e3dead76496ff562b3de0f5f048a34f1b5120482bb7e1bc04dffe8b3,False,True,executable_page_changed,7,7
0x101a0000,True,ad7facb2586fc6e966c004d7d1d16b024f5805ff7cb47c7a85dabd8b48892ca7,83ac480cce579a8bb844cc7ff0be56711e82b4cf8ea99ac92a6bee38b787da60,False,True,executable_page_changed,7,7
0x101a1000,True,ad7facb2586fc6e966c004d7d1d16b024f5805ff7cb47c7a85dabd8b48892ca7,6fc48154bbe78cec1b8d6aace913a71d8cb49acfcdd3394ec968e5a79c1d0230,False,True,executable_page_changed,7,7
0x101a2000,True,ad7facb2586fc6e966c004d7d1d16b024f5805ff7cb47c7a85dabd8b48892ca7,81187b61d8de1be1a6c701b091fa85f0acfcca08a425b7dde54b63ba7757a192,False,True,executable_page_changed,7,7
0x101a3000,True,ad7facb2586fc6e966c004d7d1d16b024f5805ff7cb47c7a85dabd8b48892ca7,150a1ab953c6a656d459eb77233663e45cdefc118b363418e83b7d36f4153f44,False,True,executable_page_changed,7,7
0x101a4000,True,ad7facb2586fc6e966c004d7d1d16b024f5805ff7cb47c7a85dabd8b48892ca7,c2f4a10ec9900672d59f998010d886eda2eb83f0d507fff1124461071fa76b4c,False,True,executable_page_changed,7,7
0x101a5000,True,ad7facb2586fc6e966c004d7d1d16b024f5805ff7cb47c7a85dabd8b48892ca7,68197922b7ceee07e8fd2c040f4290c805ed89a24b751b1c1988c234bccf513b,False,True,executable_page_changed,7,7
0x101a6000,True,ad7facb2586fc6e966c004d7d1d16b024f5805ff7cb47c7a85dabd8b48892ca7,88c3679ab31ba5f64bf8389c75dc9fc299b78091f974ad8c8ec8b7a48da856d4,False,True,executable_page_changed,7,7
0x101a7000,True,ad7facb2586fc6e966c004d7d1d16b024f5805ff7cb47c7a85dabd8b48892ca7,a58ea3a4a6155fd571f23a2f53f8e7156580ca8107b6ff0b190392ad89985d18,False,True,executable_page_changed,7,7
0x101a8000,True,ad7facb2586fc6e966c004d7d1d16b024f5805ff7cb47c7a85dabd8b48892ca7,f52d81c2a745fd8dd0b8101b780bcffb1e81f3938e15de66c9e3d77bcd14c98a,False,True,executable_page_changed,7,7
0x101a9000,True,ad7facb2586fc6e966c004d7d1d16b024f5805ff7cb47c7a85dabd8b48892ca7,e4b778a8d43b8377185b62ba5ab0069a528854faaa4c6bcbf654bc342b9eeba1,False,True,executable_page_changed,7,7
0x101aa000,True,ad7facb2586fc6e966c004d7d1d16b024f5805ff7cb47c7a85dabd8b48892ca7,06c60d1141388a3b69ab9112c9a3c3ee38e12e2b66e694e673325b97a3cf467d,False,True,executable_page_changed,7,7
