equation_id,frames,coverage,invalid_lengths,resync_distance,tail,score,survives_train,confidence,reason
eq01827,33,0.9985,919,919,113,73.072,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq01831,33,0.9985,919,919,113,73.072,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq02115,33,0.9985,919,919,114,73.072,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq02119,33,0.9985,919,919,114,73.072,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq02331,33,0.9985,919,919,115,73.072,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq02335,33,0.9985,919,919,115,73.072,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq00819,33,0.9985,920,920,112,73.07,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq00824,33,0.9985,920,920,112,73.07,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq01107,33,0.9985,920,920,113,73.07,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq01112,33,0.9985,920,920,113,73.07,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq01323,33,0.9985,920,920,114,73.07,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq01328,33,0.9985,920,920,114,73.07,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq00387,33,0.9985,921,921,112,73.068,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq00393,33,0.9985,921,921,112,73.068,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq00603,33,0.9985,921,921,113,73.068,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq00609,33,0.9985,921,921,113,73.068,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq00171,33,0.9985,922,922,112,73.066,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq00178,33,0.9985,922,922,112,73.066,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq01538,33,0.9985,952,952,113,73.006,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq01542,33,0.9985,952,952,113,73.006,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq01826,33,0.9985,952,952,114,73.006,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq01830,33,0.9985,952,952,114,73.006,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq02114,33,0.9985,952,952,115,73.006,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq02118,33,0.9985,952,952,115,73.006,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq02330,33,0.9985,952,952,116,73.006,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq02334,33,0.9985,952,952,116,73.006,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq00818,33,0.9985,953,953,113,73.004,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq00823,33,0.9985,953,953,113,73.004,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq01106,33,0.9985,953,953,114,73.004,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq01111,33,0.9985,953,953,114,73.004,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq01322,33,0.9985,953,953,115,73.004,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq01327,33,0.9985,953,953,115,73.004,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq00386,33,0.9985,954,954,113,73.002,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq00392,33,0.9985,954,954,113,73.002,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq00602,33,0.9985,954,954,114,73.002,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq00608,33,0.9985,954,954,114,73.002,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq00170,33,0.9985,955,955,113,73.0,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq00177,33,0.9985,955,955,113,73.0,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq01563,37,0.9969,930,930,232,72.954,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq01851,37,0.9969,930,930,233,72.954,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq02139,37,0.9969,930,930,234,72.954,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
