oracle_id,channel,flow_role,server_port,direction,window_model,first_frame,last_frame,packet_count,total_bytes,stream_offset_start,stream_offset_end,confidence,reason
o009,group,world,7780,C2S,pm10,,,0,0,,,high,authoritative oracle interval/window stream metadata
o009,group,side_control,10242,S2C,exact_second,,,0,0,,,high,authoritative oracle interval/window stream metadata
o009,group,side_control,10242,S2C,pm1_5,,,0,0,,,high,authoritative oracle interval/window stream metadata
o009,group,side_control,10242,S2C,pm3,,,0,0,,,high,authoritative oracle interval/window stream metadata
o009,group,side_control,10242,S2C,pm5,754,754,1,209,3984,4193,high,authoritative oracle interval/window stream metadata
o009,group,side_control,10242,S2C,pm10,754,754,1,209,3984,4193,high,authoritative oracle interval/window stream metadata
o009,group,side_control,10242,C2S,exact_second,,,0,0,,,high,authoritative oracle interval/window stream metadata
o009,group,side_control,10242,C2S,pm1_5,,,0,0,,,high,authoritative oracle interval/window stream metadata
o009,group,side_control,10242,C2S,pm3,752,752,1,22,1232,1254,high,authoritative oracle interval/window stream metadata
o009,group,side_control,10242,C2S,pm5,752,752,1,22,1232,1254,high,authoritative oracle interval/window stream metadata
o009,group,side_control,10242,C2S,pm10,748,752,2,44,1210,1254,high,authoritative oracle interval/window stream metadata
o010,group,world,7780,S2C,exact_second,762,762,1,87,149095,149182,high,authoritative oracle interval/window stream metadata
o010,group,world,7780,S2C,pm1_5,762,762,1,87,149095,149182,high,authoritative oracle interval/window stream metadata
o010,group,world,7780,S2C,pm3,762,762,1,87,149095,149182,high,authoritative oracle interval/window stream metadata
o010,group,world,7780,S2C,pm5,756,762,3,304,148878,149182,high,authoritative oracle interval/window stream metadata
o010,group,world,7780,S2C,pm10,756,762,3,304,148878,149182,high,authoritative oracle interval/window stream metadata
o010,group,world,7780,C2S,exact_second,,,0,0,,,high,authoritative oracle interval/window stream metadata
o010,group,world,7780,C2S,pm1_5,,,0,0,,,high,authoritative oracle interval/window stream metadata
o010,group,world,7780,C2S,pm3,,,0,0,,,high,authoritative oracle interval/window stream metadata
o010,group,world,7780,C2S,pm5,,,0,0,,,high,authoritative oracle interval/window stream metadata
o010,group,world,7780,C2S,pm10,764,764,1,7,482,489,high,authoritative oracle interval/window stream metadata
o010,group,side_control,10242,S2C,exact_second,,,0,0,,,high,authoritative oracle interval/window stream metadata
o010,group,side_control,10242,S2C,pm1_5,,,0,0,,,high,authoritative oracle interval/window stream metadata
o010,group,side_control,10242,S2C,pm3,,,0,0,,,high,authoritative oracle interval/window stream metadata
o010,group,side_control,10242,S2C,pm5,,,0,0,,,high,authoritative oracle interval/window stream metadata
o010,group,side_control,10242,S2C,pm10,,,0,0,,,high,authoritative oracle interval/window stream metadata
o010,group,side_control,10242,C2S,exact_second,,,0,0,,,high,authoritative oracle interval/window stream metadata
o010,group,side_control,10242,C2S,pm1_5,,,0,0,,,high,authoritative oracle interval/window stream metadata
o010,group,side_control,10242,C2S,pm3,760,760,1,22,1254,1276,high,authoritative oracle interval/window stream metadata
o010,group,side_control,10242,C2S,pm5,760,760,1,22,1254,1276,high,authoritative oracle interval/window stream metadata
o010,group,side_control,10242,C2S,pm10,760,766,2,44,1254,1298,high,authoritative oracle interval/window stream metadata
o011,group,world,7780,S2C,exact_second,774,774,1,103,149182,149285,high,authoritative oracle interval/window stream metadata
o011,group,world,7780,S2C,pm1_5,774,774,1,103,149182,149285,high,authoritative oracle interval/window stream metadata
o011,group,world,7780,S2C,pm3,774,774,1,103,149182,149285,high,authoritative oracle interval/window stream metadata
o011,group,world,7780,S2C,pm5,774,774,1,103,149182,149285,high,authoritative oracle interval/window stream metadata
o011,group,world,7780,S2C,pm10,774,774,1,103,149182,149285,high,authoritative oracle interval/window stream metadata
o011,group,world,7780,C2S,exact_second,,,0,0,,,high,authoritative oracle interval/window stream metadata
o011,group,world,7780,C2S,pm1_5,,,0,0,,,high,authoritative oracle interval/window stream metadata
o011,group,world,7780,C2S,pm3,,,0,0,,,high,authoritative oracle interval/window stream metadata
o011,group,world,7780,C2S,pm5,,,0,0,,,high,authoritative oracle interval/window stream metadata
o011,group,world,7780,C2S,pm10,,,0,0,,,high,authoritative oracle interval/window stream metadata
o011,group,side_control,10242,S2C,exact_second,,,0,0,,,high,authoritative oracle interval/window stream metadata
o011,group,side_control,10242,S2C,pm1_5,,,0,0,,,high,authoritative oracle interval/window stream metadata
o011,group,side_control,10242,S2C,pm3,770,770,1,219,4193,4412,high,authoritative oracle interval/window stream metadata
o011,group,side_control,10242,S2C,pm5,770,776,2,432,4193,4625,high,authoritative oracle interval/window stream metadata
o011,group,side_control,10242,S2C,pm10,770,776,2,432,4193,4625,high,authoritative oracle interval/window stream metadata
o011,group,side_control,10242,C2S,exact_second,,,0,0,,,high,authoritative oracle interval/window stream metadata
o011,group,side_control,10242,C2S,pm1_5,772,772,1,22,1320,1342,high,authoritative oracle interval/window stream metadata
o011,group,side_control,10242,C2S,pm3,772,772,1,22,1320,1342,high,authoritative oracle interval/window stream metadata
o011,group,side_control,10242,C2S,pm5,772,772,1,22,1320,1342,high,authoritative oracle interval/window stream metadata
o011,group,side_control,10242,C2S,pm10,772,778,2,44,1320,1364,high,authoritative oracle interval/window stream metadata
o012,group,world,7780,S2C,exact_second,810,810,1,103,149623,149726,high,authoritative oracle interval/window stream metadata
o012,group,world,7780,S2C,pm1_5,810,810,1,103,149623,149726,high,authoritative oracle interval/window stream metadata
o012,group,world,7780,S2C,pm3,810,810,1,103,149623,149726,high,authoritative oracle interval/window stream metadata
o012,group,world,7780,S2C,pm5,810,810,1,103,149623,149726,high,authoritative oracle interval/window stream metadata
o012,group,world,7780,S2C,pm10,810,818,2,112,149623,149735,high,authoritative oracle interval/window stream metadata
o012,group,world,7780,C2S,exact_second,,,0,0,,,high,authoritative oracle interval/window stream metadata
o012,group,world,7780,C2S,pm1_5,,,0,0,,,high,authoritative oracle interval/window stream metadata
o012,group,world,7780,C2S,pm3,,,0,0,,,high,authoritative oracle interval/window stream metadata
o012,group,world,7780,C2S,pm5,,,0,0,,,high,authoritative oracle interval/window stream metadata
o012,group,world,7780,C2S,pm10,816,816,1,9,489,498,high,authoritative oracle interval/window stream metadata
o012,group,side_control,10242,S2C,exact_second,812,812,1,93,5631,5724,high,authoritative oracle interval/window stream metadata
o012,group,side_control,10242,S2C,pm1_5,812,812,1,93,5631,5724,high,authoritative oracle interval/window stream metadata
o012,group,side_control,10242,S2C,pm3,812,812,1,93,5631,5724,high,authoritative oracle interval/window stream metadata
o012,group,side_control,10242,S2C,pm5,806,812,2,308,5416,5724,high,authoritative oracle interval/window stream metadata
o012,group,side_control,10242,S2C,pm10,806,812,2,308,5416,5724,high,authoritative oracle interval/window stream metadata
o012,group,side_control,10242,C2S,exact_second,,,0,0,,,high,authoritative oracle interval/window stream metadata
o012,group,side_control,10242,C2S,pm1_5,,,0,0,,,high,authoritative oracle interval/window stream metadata
o012,group,side_control,10242,C2S,pm3,,,0,0,,,high,authoritative oracle interval/window stream metadata
o012,group,side_control,10242,C2S,pm5,808,808,1,22,1474,1496,high,authoritative oracle interval/window stream metadata
o012,group,side_control,10242,C2S,pm10,808,814,2,44,1474,1518,high,authoritative oracle interval/window stream metadata
o013,group,world,7780,S2C,exact_second,834,834,1,119,149963,150082,high,authoritative oracle interval/window stream metadata
o013,group,world,7780,S2C,pm1_5,834,834,1,119,149963,150082,high,authoritative oracle interval/window stream metadata
o013,group,world,7780,S2C,pm3,834,834,1,119,149963,150082,high,authoritative oracle interval/window stream metadata
o013,group,world,7780,S2C,pm5,834,834,1,119,149963,150082,high,authoritative oracle interval/window stream metadata
o013,group,world,7780,S2C,pm10,834,838,2,238,149963,150201,high,authoritative oracle interval/window stream metadata
o013,group,world,7780,C2S,exact_second,,,0,0,,,high,authoritative oracle interval/window stream metadata
o013,group,world,7780,C2S,pm1_5,,,0,0,,,high,authoritative oracle interval/window stream metadata
o013,group,world,7780,C2S,pm3,,,0,0,,,high,authoritative oracle interval/window stream metadata
o013,group,world,7780,C2S,pm5,,,0,0,,,high,authoritative oracle interval/window stream metadata
o013,group,world,7780,C2S,pm10,,,0,0,,,high,authoritative oracle interval/window stream metadata
o013,group,side_control,10242,S2C,exact_second,832,832,1,101,5943,6044,high,authoritative oracle interval/window stream metadata
o013,group,side_control,10242,S2C,pm1_5,832,832,1,101,5943,6044,high,authoritative oracle interval/window stream metadata
o013,group,side_control,10242,S2C,pm3,832,832,1,101,5943,6044,high,authoritative oracle interval/window stream metadata
o013,group,side_control,10242,S2C,pm5,832,832,1,101,5943,6044,high,authoritative oracle interval/window stream metadata
o013,group,side_control,10242,S2C,pm10,832,832,1,101,5943,6044,high,authoritative oracle interval/window stream metadata
o013,group,side_control,10242,C2S,exact_second,,,0,0,,,high,authoritative oracle interval/window stream metadata
o013,group,side_control,10242,C2S,pm1_5,,,0,0,,,high,authoritative oracle interval/window stream metadata
o013,group,side_control,10242,C2S,pm3,,,0,0,,,high,authoritative oracle interval/window stream metadata
o013,group,side_control,10242,C2S,pm5,830,830,1,22,1540,1562,high,authoritative oracle interval/window stream metadata
o013,group,side_control,10242,C2S,pm10,830,836,2,44,1540,1584,high,authoritative oracle interval/window stream metadata
o014,group,world,7780,S2C,exact_second,838,838,1,119,150082,150201,high,authoritative oracle interval/window stream metadata
o014,group,world,7780,S2C,pm1_5,838,838,1,119,150082,150201,high,authoritative oracle interval/window stream metadata
o014,group,world,7780,S2C,pm3,838,838,1,119,150082,150201,high,authoritative oracle interval/window stream metadata
o014,group,world,7780,S2C,pm5,838,838,1,119,150082,150201,high,authoritative oracle interval/window stream metadata
