marker_index,marker_text,marker_len_ascii,occurrence_index,flow_role,server_port,window_sec,packet_order,frame,time_delta_ms,direction,tcp_len,is_payload_packet,burst_group,reason
6,S2C_A_0003_XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,43,2,world_game_candidate,7780,3,2,639,654,S2C,21,true,near_s2c,safe packet-window metadata only
6,S2C_A_0003_XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,43,2,world_game_candidate,7780,3,3,641,674,S2C,15,true,near_s2c,safe packet-window metadata only
6,S2C_A_0003_XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,43,2,world_game_candidate,7780,3,4,643,1656,S2C,70,true,post_s2c,safe packet-window metadata only
6,S2C_A_0003_XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,43,2,world_game_candidate,7780,10,1,631,-5349,S2C,21,true,pre_s2c,safe packet-window metadata only
6,S2C_A_0003_XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,43,2,world_game_candidate,7780,10,2,633,-5334,S2C,15,true,pre_s2c,safe packet-window metadata only
6,S2C_A_0003_XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,43,2,world_game_candidate,7780,10,3,635,-4358,S2C,70,true,pre_s2c,safe packet-window metadata only
6,S2C_A_0003_XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,43,2,world_game_candidate,7780,10,4,637,-661,S2C,117,true,near_s2c,safe packet-window metadata only
6,S2C_A_0003_XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,43,2,world_game_candidate,7780,10,5,639,654,S2C,21,true,near_s2c,safe packet-window metadata only
6,S2C_A_0003_XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,43,2,world_game_candidate,7780,10,6,641,674,S2C,15,true,near_s2c,safe packet-window metadata only
6,S2C_A_0003_XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,43,2,world_game_candidate,7780,10,7,643,1656,S2C,70,true,post_s2c,safe packet-window metadata only
6,S2C_A_0003_XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,43,2,world_game_candidate,7780,10,8,649,6666,S2C,21,true,post_s2c,safe packet-window metadata only
