frame,time_local,direction,src_ip,src_port,dst_ip,dst_port,tcp_len,near_marker,role_guess
124,2026-07-13 17:26:08.001,S2C,51.83.147.97,10242,192.168.178.127,57497,247,,chat_sidechannel_candidate
125,2026-07-13 17:26:08.001,C2S,192.168.178.127,57497,51.83.147.97,10242,0,,chat_sidechannel_candidate
126,2026-07-13 17:26:15.604,C2S,192.168.178.127,57497,51.83.147.97,10242,22,,chat_sidechannel_candidate
127,2026-07-13 17:26:15.633,S2C,51.83.147.97,10242,192.168.178.127,57497,0,,chat_sidechannel_candidate
128,2026-07-13 17:26:20.118,S2C,51.83.147.97,10242,192.168.178.127,57497,251,,chat_sidechannel_candidate
129,2026-07-13 17:26:20.119,C2S,192.168.178.127,57497,51.83.147.97,10242,0,,chat_sidechannel_candidate
130,2026-07-13 17:26:25.605,C2S,192.168.178.127,57497,51.83.147.97,10242,22,,chat_sidechannel_candidate
131,2026-07-13 17:26:25.634,S2C,51.83.147.97,10242,192.168.178.127,57497,0,,chat_sidechannel_candidate
132,2026-07-13 17:26:35.605,C2S,192.168.178.127,57497,51.83.147.97,10242,22,,chat_sidechannel_candidate
133,2026-07-13 17:26:35.634,S2C,51.83.147.97,10242,192.168.178.127,57497,0,,chat_sidechannel_candidate
134,2026-07-13 17:26:45.606,C2S,192.168.178.127,57497,51.83.147.97,10242,22,,chat_sidechannel_candidate
135,2026-07-13 17:26:45.636,S2C,51.83.147.97,10242,192.168.178.127,57497,0,,chat_sidechannel_candidate
136,2026-07-13 17:26:54.726,S2C,51.83.147.97,10242,192.168.178.127,57497,189,,chat_sidechannel_candidate
137,2026-07-13 17:26:54.726,C2S,192.168.178.127,57497,51.83.147.97,10242,0,,chat_sidechannel_candidate
138,2026-07-13 17:26:55.607,C2S,192.168.178.127,57497,51.83.147.97,10242,22,,chat_sidechannel_candidate
139,2026-07-13 17:26:55.636,S2C,51.83.147.97,10242,192.168.178.127,57497,0,,chat_sidechannel_candidate
140,2026-07-13 17:27:05.607,C2S,192.168.178.127,57497,51.83.147.97,10242,22,,chat_sidechannel_candidate
141,2026-07-13 17:27:05.635,S2C,51.83.147.97,10242,192.168.178.127,57497,0,,chat_sidechannel_candidate
142,2026-07-13 17:27:15.607,C2S,192.168.178.127,57497,51.83.147.97,10242,22,,chat_sidechannel_candidate
143,2026-07-13 17:27:15.635,S2C,51.83.147.97,10242,192.168.178.127,57497,0,,chat_sidechannel_candidate
144,2026-07-13 17:27:25.608,C2S,192.168.178.127,57497,51.83.147.97,10242,22,,chat_sidechannel_candidate
145,2026-07-13 17:27:25.636,S2C,51.83.147.97,10242,192.168.178.127,57497,0,,chat_sidechannel_candidate
146,2026-07-13 17:27:35.609,C2S,192.168.178.127,57497,51.83.147.97,10242,22,,chat_sidechannel_candidate
147,2026-07-13 17:27:35.639,S2C,51.83.147.97,10242,192.168.178.127,57497,0,,chat_sidechannel_candidate
148,2026-07-13 17:27:45.609,C2S,192.168.178.127,57497,51.83.147.97,10242,22,,chat_sidechannel_candidate
149,2026-07-13 17:27:45.640,S2C,51.83.147.97,10242,192.168.178.127,57497,0,,chat_sidechannel_candidate
150,2026-07-13 17:27:55.611,C2S,192.168.178.127,57497,51.83.147.97,10242,22,,chat_sidechannel_candidate
151,2026-07-13 17:27:55.640,S2C,51.83.147.97,10242,192.168.178.127,57497,0,,chat_sidechannel_candidate
152,2026-07-13 17:27:59.245,S2C,51.83.147.97,10242,192.168.178.127,57497,253,,chat_sidechannel_candidate
