oracle_id,channel,flow_role,server_port,direction,window_sec,first_frame,last_frame,packet_count,total_bytes,stream_offset_start,stream_offset_end,largest_packet_len,confidence,reason
o010,group,world,7780,C2S,1,,,0,0,,,,high,oracle stream window metadata only
o010,group,world,7780,C2S,3,,,0,0,,,,high,oracle stream window metadata only
o010,group,world,7780,C2S,5,,,0,0,,,,high,oracle stream window metadata only
o010,group,world,7780,C2S,10,764,764,1,7,482,489,7,high,oracle stream window metadata only
o010,group,event_side,10242,S2C,nearest,754,754,1,209,3984,4193,209,high,oracle stream window metadata only
o010,group,event_side,10242,S2C,1,,,0,0,,,,high,oracle stream window metadata only
o010,group,event_side,10242,S2C,3,,,0,0,,,,high,oracle stream window metadata only
o010,group,event_side,10242,S2C,5,,,0,0,,,,high,oracle stream window metadata only
o010,group,event_side,10242,S2C,10,,,0,0,,,,high,oracle stream window metadata only
o010,group,event_side,10242,C2S,nearest,760,760,1,22,1254,1276,22,high,oracle stream window metadata only
o010,group,event_side,10242,C2S,1,,,0,0,,,,high,oracle stream window metadata only
o010,group,event_side,10242,C2S,3,,,0,0,,,,high,oracle stream window metadata only
o010,group,event_side,10242,C2S,5,760,760,1,22,1254,1276,22,high,oracle stream window metadata only
o010,group,event_side,10242,C2S,10,760,766,2,44,1254,1298,22,high,oracle stream window metadata only
o011,group,world,7780,S2C,nearest,782,782,1,70,149285,149355,70,high,oracle stream window metadata only
o011,group,world,7780,S2C,1,,,0,0,,,,high,oracle stream window metadata only
o011,group,world,7780,S2C,3,,,0,0,,,,high,oracle stream window metadata only
o011,group,world,7780,S2C,5,782,782,1,70,149285,149355,70,high,oracle stream window metadata only
o011,group,world,7780,S2C,10,782,788,4,330,149285,149615,186,high,oracle stream window metadata only
o011,group,world,7780,C2S,nearest,764,764,1,7,482,489,7,high,oracle stream window metadata only
o011,group,world,7780,C2S,1,,,0,0,,,,high,oracle stream window metadata only
o011,group,world,7780,C2S,3,,,0,0,,,,high,oracle stream window metadata only
o011,group,world,7780,C2S,5,,,0,0,,,,high,oracle stream window metadata only
o011,group,world,7780,C2S,10,,,0,0,,,,high,oracle stream window metadata only
o011,group,event_side,10242,S2C,nearest,776,776,1,213,4412,4625,213,high,oracle stream window metadata only
o011,group,event_side,10242,S2C,1,,,0,0,,,,high,oracle stream window metadata only
o011,group,event_side,10242,S2C,3,,,0,0,,,,high,oracle stream window metadata only
o011,group,event_side,10242,S2C,5,,,0,0,,,,high,oracle stream window metadata only
o011,group,event_side,10242,S2C,10,,,0,0,,,,high,oracle stream window metadata only
o011,group,event_side,10242,C2S,nearest,780,780,1,22,1364,1386,22,high,oracle stream window metadata only
o011,group,event_side,10242,C2S,1,780,780,1,22,1364,1386,22,high,oracle stream window metadata only
o011,group,event_side,10242,C2S,3,780,780,1,22,1364,1386,22,high,oracle stream window metadata only
o011,group,event_side,10242,C2S,5,780,780,1,22,1364,1386,22,high,oracle stream window metadata only
o011,group,event_side,10242,C2S,10,778,780,2,44,1342,1386,22,high,oracle stream window metadata only
o012,group,world,7780,S2C,nearest,810,810,1,103,149623,149726,103,high,oracle stream window metadata only
o012,group,world,7780,S2C,1,810,810,1,103,149623,149726,103,high,oracle stream window metadata only
o012,group,world,7780,S2C,3,810,810,1,103,149623,149726,103,high,oracle stream window metadata only
o012,group,world,7780,S2C,5,810,810,1,103,149623,149726,103,high,oracle stream window metadata only
o012,group,world,7780,S2C,10,810,818,2,112,149623,149735,103,high,oracle stream window metadata only
o012,group,world,7780,C2S,nearest,816,816,1,9,489,498,9,high,oracle stream window metadata only
o012,group,world,7780,C2S,1,,,0,0,,,,high,oracle stream window metadata only
o012,group,world,7780,C2S,3,,,0,0,,,,high,oracle stream window metadata only
o012,group,world,7780,C2S,5,,,0,0,,,,high,oracle stream window metadata only
o012,group,world,7780,C2S,10,816,816,1,9,489,498,9,high,oracle stream window metadata only
o012,group,event_side,10242,S2C,nearest,812,812,1,93,5631,5724,93,high,oracle stream window metadata only
o012,group,event_side,10242,S2C,1,812,812,1,93,5631,5724,93,high,oracle stream window metadata only
o012,group,event_side,10242,S2C,3,812,812,1,93,5631,5724,93,high,oracle stream window metadata only
o012,group,event_side,10242,S2C,5,806,812,2,308,5416,5724,215,high,oracle stream window metadata only
o012,group,event_side,10242,S2C,10,806,812,2,308,5416,5724,215,high,oracle stream window metadata only
o012,group,event_side,10242,C2S,nearest,808,808,1,22,1474,1496,22,high,oracle stream window metadata only
o012,group,event_side,10242,C2S,1,,,0,0,,,,high,oracle stream window metadata only
o012,group,event_side,10242,C2S,3,,,0,0,,,,high,oracle stream window metadata only
o012,group,event_side,10242,C2S,5,808,808,1,22,1474,1496,22,high,oracle stream window metadata only
o012,group,event_side,10242,C2S,10,808,814,2,44,1474,1518,22,high,oracle stream window metadata only
o013,group,world,7780,S2C,nearest,834,834,1,119,149963,150082,119,high,oracle stream window metadata only
o013,group,world,7780,S2C,1,834,834,1,119,149963,150082,119,high,oracle stream window metadata only
o013,group,world,7780,S2C,3,834,834,1,119,149963,150082,119,high,oracle stream window metadata only
o013,group,world,7780,S2C,5,834,834,1,119,149963,150082,119,high,oracle stream window metadata only
o013,group,world,7780,S2C,10,834,838,2,238,149963,150201,119,high,oracle stream window metadata only
o013,group,world,7780,C2S,nearest,816,816,1,9,489,498,9,high,oracle stream window metadata only
o013,group,world,7780,C2S,1,,,0,0,,,,high,oracle stream window metadata only
o013,group,world,7780,C2S,3,,,0,0,,,,high,oracle stream window metadata only
o013,group,world,7780,C2S,5,,,0,0,,,,high,oracle stream window metadata only
o013,group,world,7780,C2S,10,,,0,0,,,,high,oracle stream window metadata only
