flow_id,server_ip,server_port,client_ip,client_port,packets,total_tcp_payload_bytes,s2c_packets,c2s_packets,s2c_payload_bytes,c2s_payload_bytes,first_time,last_time,duration_sec,role_guess,confidence,reason
192.168.178.127:65065<->3.233.158.39:443,3.233.158.39,443,192.168.178.127,65065,1,0,0,1,0,0,2026-07-13 19:24:54.315,2026-07-13 19:24:54.315,0.000,ignored_external_noise,low,not a EuroAion world/chat/login candidate
192.168.178.127:50062<->3.233.158.40:443,3.233.158.40,443,192.168.178.127,50062,1,0,0,1,0,0,2026-07-13 19:24:54.581,2026-07-13 19:24:54.581,0.000,ignored_external_noise,low,not a EuroAion world/chat/login candidate
192.168.178.127:50064<->3.233.158.41:443,3.233.158.41,443,192.168.178.127,50064,1,0,0,1,0,0,2026-07-13 19:24:54.833,2026-07-13 19:24:54.833,0.000,ignored_external_noise,low,not a EuroAion world/chat/login candidate
192.168.178.127:63023<->3.233.158.118:443,3.233.158.118,443,192.168.178.127,63023,1,0,0,1,0,0,2026-07-13 19:25:24.336,2026-07-13 19:25:24.336,0.000,ignored_external_noise,low,not a EuroAion world/chat/login candidate
192.168.178.127:63025<->3.233.158.119:443,3.233.158.119,443,192.168.178.127,63025,1,0,0,1,0,0,2026-07-13 19:25:24.588,2026-07-13 19:25:24.588,0.000,ignored_external_noise,low,not a EuroAion world/chat/login candidate
192.168.178.127:63027<->3.233.158.121:443,3.233.158.121,443,192.168.178.127,63027,1,0,0,1,0,0,2026-07-13 19:25:24.839,2026-07-13 19:25:24.839,0.000,ignored_external_noise,low,not a EuroAion world/chat/login candidate
192.168.178.127:57842<->3.233.158.118:443,3.233.158.118,443,192.168.178.127,57842,1,0,0,1,0,0,2026-07-13 19:25:54.337,2026-07-13 19:25:54.337,0.000,ignored_external_noise,low,not a EuroAion world/chat/login candidate
192.168.178.127:57844<->3.233.158.119:443,3.233.158.119,443,192.168.178.127,57844,1,0,0,1,0,0,2026-07-13 19:25:54.591,2026-07-13 19:25:54.591,0.000,ignored_external_noise,low,not a EuroAion world/chat/login candidate
192.168.178.127:57846<->3.233.158.121:443,3.233.158.121,443,192.168.178.127,57846,1,0,0,1,0,0,2026-07-13 19:25:54.856,2026-07-13 19:25:54.856,0.000,ignored_external_noise,low,not a EuroAion world/chat/login candidate
192.168.178.127:49334<->3.233.158.116:443,3.233.158.116,443,192.168.178.127,49334,1,0,0,1,0,0,2026-07-13 19:26:24.333,2026-07-13 19:26:24.333,0.000,ignored_external_noise,low,not a EuroAion world/chat/login candidate
192.168.178.127:49336<->3.233.158.115:443,3.233.158.115,443,192.168.178.127,49336,1,0,0,1,0,0,2026-07-13 19:26:24.586,2026-07-13 19:26:24.586,0.000,ignored_external_noise,low,not a EuroAion world/chat/login candidate
192.168.178.127:49338<->3.233.158.117:443,3.233.158.117,443,192.168.178.127,49338,1,0,0,1,0,0,2026-07-13 19:26:24.838,2026-07-13 19:26:24.838,0.000,ignored_external_noise,low,not a EuroAion world/chat/login candidate
192.168.178.127:49348<->3.233.158.41:443,3.233.158.41,443,192.168.178.127,49348,1,0,0,1,0,0,2026-07-13 19:26:54.378,2026-07-13 19:26:54.378,0.000,ignored_external_noise,low,not a EuroAion world/chat/login candidate
192.168.178.127:49350<->3.233.158.39:443,3.233.158.39,443,192.168.178.127,49350,1,0,0,1,0,0,2026-07-13 19:26:54.631,2026-07-13 19:26:54.631,0.000,ignored_external_noise,low,not a EuroAion world/chat/login candidate
192.168.178.127:49352<->3.233.158.40:443,3.233.158.40,443,192.168.178.127,49352,1,0,0,1,0,0,2026-07-13 19:26:54.882,2026-07-13 19:26:54.882,0.000,ignored_external_noise,low,not a EuroAion world/chat/login candidate
192.168.178.127:52593<->3.233.158.41:443,3.233.158.41,443,192.168.178.127,52593,1,0,0,1,0,0,2026-07-13 19:27:24.351,2026-07-13 19:27:24.351,0.000,ignored_external_noise,low,not a EuroAion world/chat/login candidate
192.168.178.127:52595<->3.233.158.39:443,3.233.158.39,443,192.168.178.127,52595,1,0,0,1,0,0,2026-07-13 19:27:24.603,2026-07-13 19:27:24.603,0.000,ignored_external_noise,low,not a EuroAion world/chat/login candidate
192.168.178.127:52597<->3.233.158.40:443,3.233.158.40,443,192.168.178.127,52597,1,0,0,1,0,0,2026-07-13 19:27:24.869,2026-07-13 19:27:24.869,0.000,ignored_external_noise,low,not a EuroAion world/chat/login candidate
192.168.178.127:52645<->3.233.158.50:443,3.233.158.50,443,192.168.178.127,52645,1,0,0,1,0,0,2026-07-13 19:27:54.368,2026-07-13 19:27:54.368,0.000,ignored_external_noise,low,not a EuroAion world/chat/login candidate
192.168.178.127:52648<->3.233.158.49:443,3.233.158.49,443,192.168.178.127,52648,1,0,0,1,0,0,2026-07-13 19:27:54.625,2026-07-13 19:27:54.625,0.000,ignored_external_noise,low,not a EuroAion world/chat/login candidate
192.168.178.127:52651<->3.233.158.48:443,3.233.158.48,443,192.168.178.127,52651,1,0,0,1,0,0,2026-07-13 19:27:54.890,2026-07-13 19:27:54.890,0.000,ignored_external_noise,low,not a EuroAion world/chat/login candidate
