hypothesis_id,channel,direction,window_model,header_model,rows_tested,rows_plausible,repeat_consistent,message_length_signal,channel_signal,exact_text_match,confidence,reason
world_C2S_pm5_o011,group,C2S,pm5,offset_0_32_metadata,1,0,pending,false,false,false,medium,packet_count=0 total_bytes=0 largest=0
world_C2S_pm5_o012,group,C2S,pm5,offset_0_32_metadata,1,0,pending,false,false,false,medium,packet_count=0 total_bytes=0 largest=0
world_C2S_pm5_o013,group,C2S,pm5,offset_0_32_metadata,1,0,pending,false,false,false,medium,packet_count=0 total_bytes=0 largest=0
world_C2S_pm5_o014,group,C2S,pm5,offset_0_32_metadata,1,0,pending,false,false,false,medium,packet_count=0 total_bytes=0 largest=0
world_C2S_pm5_o015,group,C2S,pm5,offset_0_32_metadata,1,0,pending,false,false,false,medium,packet_count=0 total_bytes=0 largest=0
world_C2S_pm5_o016,group,C2S,pm5,offset_0_32_metadata,1,0,pending,false,false,false,medium,packet_count=0 total_bytes=0 largest=0
world_C2S_pm5_o017,local,C2S,pm5,offset_0_32_metadata,1,0,pending,false,false,false,medium,packet_count=0 total_bytes=0 largest=0
world_C2S_pm10_o001,whisper,C2S,pm10,offset_0_32_metadata,1,1,pending,true,false,false,medium,packet_count=1 total_bytes=11 largest=11
world_C2S_pm10_o002,whisper,C2S,pm10,offset_0_32_metadata,1,1,pending,true,false,false,medium,packet_count=1 total_bytes=11 largest=11
world_C2S_pm10_o003,whisper,C2S,pm10,offset_0_32_metadata,1,1,pending,true,false,false,medium,packet_count=1 total_bytes=11 largest=11
world_C2S_pm10_o004,whisper,C2S,pm10,offset_0_32_metadata,1,0,pending,false,false,false,medium,packet_count=0 total_bytes=0 largest=0
world_C2S_pm10_o005,whisper,C2S,pm10,offset_0_32_metadata,1,0,pending,false,false,false,medium,packet_count=0 total_bytes=0 largest=0
world_C2S_pm10_o006,whisper,C2S,pm10,offset_0_32_metadata,1,0,pending,false,false,false,medium,packet_count=0 total_bytes=0 largest=0
world_C2S_pm10_o007,whisper,C2S,pm10,offset_0_32_metadata,1,0,pending,false,false,false,medium,packet_count=0 total_bytes=0 largest=0
world_C2S_pm10_o008,whisper,C2S,pm10,offset_0_32_metadata,1,0,pending,false,false,false,medium,packet_count=0 total_bytes=0 largest=0
world_C2S_pm10_o009,group,C2S,pm10,offset_0_32_metadata,1,0,pending,false,false,false,medium,packet_count=0 total_bytes=0 largest=0
world_C2S_pm10_o010,group,C2S,pm10,offset_0_32_metadata,1,1,pending,true,false,false,medium,packet_count=1 total_bytes=7 largest=7
world_C2S_pm10_o011,group,C2S,pm10,offset_0_32_metadata,1,0,pending,false,false,false,medium,packet_count=0 total_bytes=0 largest=0
world_C2S_pm10_o012,group,C2S,pm10,offset_0_32_metadata,1,1,pending,true,false,false,medium,packet_count=1 total_bytes=9 largest=9
world_C2S_pm10_o013,group,C2S,pm10,offset_0_32_metadata,1,0,pending,false,false,false,medium,packet_count=0 total_bytes=0 largest=0
world_C2S_pm10_o014,group,C2S,pm10,offset_0_32_metadata,1,0,pending,false,false,false,medium,packet_count=0 total_bytes=0 largest=0
world_C2S_pm10_o015,group,C2S,pm10,offset_0_32_metadata,1,0,pending,false,false,false,medium,packet_count=0 total_bytes=0 largest=0
world_C2S_pm10_o016,group,C2S,pm10,offset_0_32_metadata,1,0,pending,false,false,false,medium,packet_count=0 total_bytes=0 largest=0
world_C2S_pm10_o017,local,C2S,pm10,offset_0_32_metadata,1,0,pending,false,false,false,medium,packet_count=0 total_bytes=0 largest=0
