packet_no,anchor_packet_no,tcp_stream,direction,payload_len,payload_hex,key_name,key8_hex,order_variant,status,length_le,length_sane,opcode_hex,opcode_complement_ok,utf16le_or_ascii_containment,matched_messages,decoded_prefix_hex,decoded_prefix_ascii,notes
9762,9741,105,S2C,15,1b09f41fe0db73509bbc20bb2a7d0c,seed_be_tail_be,a2c5903987546ca1,XORpass_only_offset_2_preupdate_1,tested,2331,no,5B,no,no,,1b095b65202d7814d3d7031f572294,"..[e -x.....W"".",public staticKey XORpass only
9816,9741,105,C2S,9,b3f6600a80de116fa1,seed_le_tail_le,3990c5a2a16c5487,Blowfish_then_XORpass,not_run_blowfish_library_unavailable,,,,,no,,,,No local Python Blowfish/Crypto/cryptography/openssl provider was available; no unknown binaries were run.
9816,9741,105,C2S,9,b3f6600a80de116fa1,seed_le_tail_le,3990c5a2a16c5487,XORpass_then_Blowfish,not_run_blowfish_library_unavailable,,,,,no,,,,No local Python Blowfish/Crypto/cryptography/openssl provider was available; no unknown binaries were run.
9816,9741,105,C2S,9,b3f6600a80de116fa1,seed_le_tail_le,3990c5a2a16c5487,Blowfish_only,not_run_blowfish_library_unavailable,,,,,no,,,,No local Python Blowfish/Crypto/cryptography/openssl provider was available; no unknown binaries were run.
9816,9741,105,C2S,9,b3f6600a80de116fa1,seed_le_tail_le,3990c5a2a16c5487,XORpass_only_offset_0_preupdate_0,tested,40586,no,1C,no,no,,8a9e1ce77c51efa8c7,....|Q...,public staticKey XORpass only
9816,9741,105,C2S,9,b3f6600a80de116fa1,seed_le_tail_le,3990c5a2a16c5487,XORpass_only_offset_2_preupdate_0,tested,63155,no,59,no,no,,b3f659b100d33971ee,..Y...9q.,public staticKey XORpass only
9816,9741,105,C2S,9,b3f6600a80de116fa1,seed_le_tail_le,3990c5a2a16c5487,XORpass_only_offset_0_preupdate_1,tested,40689,no,1C,no,no,,f19e1ce77c51efa8bc,....|Q...,public staticKey XORpass only
9816,9741,105,C2S,9,b3f6600a80de116fa1,seed_le_tail_le,3990c5a2a16c5487,XORpass_only_offset_2_preupdate_1,tested,63155,no,20,no,no,,b3f620b100d33971ee,.. ...9q.,public staticKey XORpass only
9816,9741,105,C2S,9,b3f6600a80de116fa1,seed_be_tail_le,a2c59039a16c5487,Blowfish_then_XORpass,not_run_blowfish_library_unavailable,,,,,no,,,,No local Python Blowfish/Crypto/cryptography/openssl provider was available; no unknown binaries were run.
9816,9741,105,C2S,9,b3f6600a80de116fa1,seed_be_tail_le,a2c59039a16c5487,XORpass_then_Blowfish,not_run_blowfish_library_unavailable,,,,,no,,,,No local Python Blowfish/Crypto/cryptography/openssl provider was available; no unknown binaries were run.
9816,9741,105,C2S,9,b3f6600a80de116fa1,seed_be_tail_le,a2c59039a16c5487,Blowfish_only,not_run_blowfish_library_unavailable,,,,,no,,,,No local Python Blowfish/Crypto/cryptography/openssl provider was available; no unknown binaries were run.
9816,9741,105,C2S,9,b3f6600a80de116fa1,seed_be_tail_le,a2c59039a16c5487,XORpass_only_offset_0_preupdate_0,tested,51985,no,49,no,no,,11cb497c7c51efa85c,..I||Q..\,public staticKey XORpass only
9816,9741,105,C2S,9,b3f6600a80de116fa1,seed_be_tail_le,a2c59039a16c5487,XORpass_only_offset_2_preupdate_0,tested,63155,no,C2,no,no,,b3f6c2e455483971ee,....UH9q.,public staticKey XORpass only
9816,9741,105,C2S,9,b3f6600a80de116fa1,seed_be_tail_le,a2c59039a16c5487,XORpass_only_offset_0_preupdate_1,tested,51992,no,49,no,no,,18cb497c7c51efa855,..I||Q..U,public staticKey XORpass only
9816,9741,105,C2S,9,b3f6600a80de116fa1,seed_be_tail_le,a2c59039a16c5487,XORpass_only_offset_2_preupdate_1,tested,63155,no,C9,no,no,,b3f6c9e455483971ee,....UH9q.,public staticKey XORpass only
9816,9741,105,C2S,9,b3f6600a80de116fa1,seed_le_tail_be,3990c5a287546ca1,Blowfish_then_XORpass,not_run_blowfish_library_unavailable,,,,,no,,,,No local Python Blowfish/Crypto/cryptography/openssl provider was available; no unknown binaries were run.
9816,9741,105,C2S,9,b3f6600a80de116fa1,seed_le_tail_be,3990c5a287546ca1,XORpass_then_Blowfish,not_run_blowfish_library_unavailable,,,,,no,,,,No local Python Blowfish/Crypto/cryptography/openssl provider was available; no unknown binaries were run.
9816,9741,105,C2S,9,b3f6600a80de116fa1,seed_le_tail_be,3990c5a287546ca1,Blowfish_only,not_run_blowfish_library_unavailable,,,,,no,,,,No local Python Blowfish/Crypto/cryptography/openssl provider was available; no unknown binaries were run.
9816,9741,105,C2S,9,b3f6600a80de116fa1,seed_le_tail_be,3990c5a287546ca1,XORpass_only_offset_0_preupdate_0,tested,40586,no,1C,no,no,,8a9e1ce75a69d78ec7,....Zi...,public staticKey XORpass only
9816,9741,105,C2S,9,b3f6600a80de116fa1,seed_le_tail_be,3990c5a287546ca1,XORpass_only_offset_2_preupdate_0,tested,63155,no,59,no,no,,b3f659b100d31f49d6,..Y....I.,public staticKey XORpass only
9816,9741,105,C2S,9,b3f6600a80de116fa1,seed_le_tail_be,3990c5a287546ca1,XORpass_only_offset_0_preupdate_1,tested,40689,no,1C,no,no,,f19e1ce75a69d78ebc,....Zi...,public staticKey XORpass only
9816,9741,105,C2S,9,b3f6600a80de116fa1,seed_le_tail_be,3990c5a287546ca1,XORpass_only_offset_2_preupdate_1,tested,63155,no,20,no,no,,b3f620b100d31f49d6,.. ....I.,public staticKey XORpass only
